id,spec,text,DSI
20,temp4_organ-empire-comply_1long,"In the heart of the ancient empire, a mysterious organ stood tall, its pipes reaching towards the sky like skeletal fingers. The people of the land believed it held mystical powers, and only those who could play its haunting melodies could bring prosperity to the kingdom. But as the years passed, the empire began to crumble, and the once-majestic organ fell into disrepair. A young apprentice named Ava stumbled upon the forgotten instrument and, feeling an inexplicable connection, decided to restore it to its former glory. As she worked tirelessly to revive the organ, she discovered a hidden compartment containing an ancient scroll with a single, ominous message: ""comply or face destruction."" Ava was torn between her desire to uncover the truth and her duty to comply with the cryptic warning. Despite her reservations, she chose to play the organ once more, and as the first notes echoed through the land, the empire began to stir, its people awakening from their long slumber. As the music swelled, Ava realized that the true power of the organ lay not in its magic, but in its ability to bring the people together, to comply with a shared vision of a brighter future.",0.823750544
21,temp4_gloom-payment-exist_1long,"As I walked through the abandoned mansion, a sense of gloom settled over me, as if the very walls were watching my every move. I had been hired to investigate the mysterious disappearance of the former owner, and I was determined to uncover the truth. The air was thick with dust and secrets, and I couldn't shake the feeling that something sinister lurked in the shadows. Suddenly, I stumbled upon an old ledger, detailing a payment made to a mysterious stranger on the night of the owner's disappearance. The entry was cryptic, but it seemed to hint at a darker purpose behind the transaction. As I delved deeper into the mystery, I began to wonder if the truth was meant to exist in the light of day, or if it would remain forever shrouded in darkness. The more I uncovered, the more I realized that some secrets were better left unspoken, and that the payment had been just the beginning of a deadly game. In the end, I escaped the mansion with my life, but the memory of the gloom and the sinister payment lingered, a haunting reminder that some truths are too terrible to exist.",0.813645564
22,temp6_stamp-letter-send_1long,"As I sat at my desk, I carefully wrote a letter to my pen pal who lived on the other side of the world. I had been waiting for what felt like forever to hear back from her, and I couldn't wait to send my response. I folded the paper neatly and placed it in an envelope, making sure to affix the right stamp in the corner. The stamp featured a beautiful image of our country's national bird, and I hoped it would bring a smile to my friend's face. With the letter sealed and addressed, I walked to the mailbox to send it on its journey. As I lifted the lid and dropped the envelope inside, I felt a sense of excitement and anticipation. I couldn't wait to receive a response and continue our long-distance conversation. In a few short weeks, my friend would receive the letter and we could continue to share our thoughts and stories with each other.",0.808735886
23,temp6_petrol-diesel-pump_1long,"As I drove through the desert, my car's engine began to sputter, warning me that it was almost out of fuel. I spotted a small station in the distance and quickly pulled in to refuel. The attendant, a gruff but kind old man, asked me if I needed petrol or diesel, and I replied that my car ran on petrol. He nodded and began to fill up my tank at the pump, chatting with me about the harsh conditions of the desert roads. As we talked, a large truck pulled in, its engine rumbling as it ran on diesel fuel. The attendant expertly switched to the diesel pump and began to refuel the truck, its massive tanks guzzling down the fuel. With my tank full and the truck on its way, I thanked the attendant and continued my journey, feeling grateful for the small oasis in the desert. As I drove away, I could see the station's sign fading into the distance, a beacon of hope for weary travelers like myself.",0.810508881
24,temp6_year-week-embark_1long,"As I stood on the edge of the grand canyon, I couldn't help but feel a sense of excitement and nervousness as I prepared to embark on the journey of a lifetime. It had been a year in the planning, and finally, the day had arrived to start my trek across one of the world's most iconic natural wonders. My guide, a seasoned adventurer, handed me a map and outlined our route for the next week, which would take us through some of the toughest terrain imaginable. I took a deep breath, shouldered my backpack, and nodded eagerly as we set off into the unknown. The first few days were grueling, but as we settled into a rhythm, I began to feel more confident in my abilities. As the week wore on, the scenery shifted from arid desert landscapes to lush forests, each one more breathtaking than the last. And though I had been hesitant to embark on this adventure at first, I was now grateful for the experience and the sense of accomplishment that came with it. By the end of the year, I knew that this journey would be one that I would never forget, a testament to my own strength and resilience.",0.812966371
25,temp6_statement-stealth-detect_1long,"As I walked into the dimly lit room, I noticed a mysterious figure lurking in the shadows, their stealth movements making it nearly impossible to detect their presence. Suddenly, they stepped forward and made a bold statement, claiming to have information about the missing artifact. I was skeptical at first, but as they began to reveal details, I realized that they might be telling the truth. The figure's ability to remain undetected for so long was impressive, and I found myself wondering how they had managed to pull it off. As we talked, I tried to detect any inconsistencies in their story, but everything seemed to check out. Just as I was about to trust them, they slipped back into the shadows, using their stealth once again to disappear into the night. With their parting statement still echoing in my mind, I couldn't help but feel a sense of awe at the mysterious figure's abilities. As I left the room, I couldn't shake the feeling that our encounter was only the beginning of a much larger adventure.",0.813030735
26,temp6_belief-faith-sing_1long,"As I stood on the mountain peak, I felt a strong sense of faith wash over me, guiding me towards a newfound understanding of the world. It was as if the universe had finally revealed its secrets to me, and my heart was filled with an unwavering belief in the beauty of life. The wind whispered ancient melodies in my ear, and I began to sing a hauntingly beautiful song that echoed across the valleys below. My voice carried on the breeze, a symphony of hope and joy that seemed to touch the hearts of all who heard it. As I sang, I felt my spirit soar, unshackled by doubt or fear, and my faith in the goodness of humanity was renewed. The music poured out of me like a river, a reflection of the deep belief I had in the transformative power of love and compassion. In that moment, I knew that I was a part of something greater than myself, connected to all things through the universal language of song. And as the last notes faded away, I felt a sense of peace settle over me, a sense of faith and belief that would stay with me forever.",0.799292417
27,temp6_organ-empire-comply_1long,"In the heart of the ancient empire, a mysterious organ played a haunting melody that echoed through the streets. The people of the land were drawn to the sound, as if compelled to comply with some unseen force. As they gathered around the instrument, they felt an otherworldly energy emanating from it, as if the organ was alive and exerting control over their minds. The ruler of the empire, a just and fair leader, sought to understand the power of the organ and its hold on her people. She ordered her most trusted advisors to investigate the phenomenon, but they were unable to uncover its secrets. Despite the unknown dangers, the people continued to comply with the organ's strange allure, gathering nightly to listen in rapt attention. As the nights passed, the empire became a place of eerie enchantment, where the sound of the organ was the only reality that mattered. And at the center of it all, the ruler stood frozen, unsure whether to resist or comply with the mesmerizing force that had taken hold of her kingdom.",0.818054834
28,temp6_gloom-payment-exist_1long,"As I walked through the abandoned city, a sense of gloom settled over me, weighing heavily on my shoulders. The once-thriving streets were now empty and still, a haunting reminder of what had been lost. I had come to make a payment to the mysterious figure who claimed to hold the key to restoring the city's former glory. But as I approached the designated meeting point, I began to wonder if this person truly exist or was just a myth. The air was thick with uncertainty, and I couldn't shake the feeling that I was being led into a trap. Suddenly, a figure emerged from the shadows, its presence seeming to draw the gloom closer, like a dark cloud. With a sense of trepidation, I handed over the payment, hoping against hope that it would be enough to bring life back to this desolate place and prove that a better future could exist. As the figure vanished into the night, I was left to ponder whether my actions would have any real impact, or if the gloom would continue to reign supreme.",0.819407708
29,temp8_stamp-letter-send_1long,"As I sat at my desk, I carefully wrote out a stamp-letter to my pen pal who lived on the other side of the world. I had been waiting for what felt like forever to send her an update about my life. Finally, the day had arrived, and I was eager to share all my news with her. I placed the letter in an envelope and affixed a colorful stamp to the corner, making sure it was securely in place. With a satisfied smile, I walked to the mailbox to send my letter on its journey. As I lifted the lid and dropped the envelope inside, I felt a sense of excitement and anticipation, wondering when my friend would receive it. The thought of her reading my words and responding with a letter of her own was almost too exciting to bear, and I couldn't wait to send another one soon. With the letter on its way, I felt a sense of connection to my friend, even though we were thousands of miles apart.",0.806519553
30,temp8_petrol-diesel-pump_1long,"As I drove down the deserted highway, my old truck's engine began to sputter, warning me that it was time to refuel. I spotted a small station in the distance and pulled in, relieved to see that they had both petrol and diesel available. The attendant, a gruff but kind man, asked me what type of fuel I needed and I replied that my truck ran on diesel. He nodded and began to operate the pump, filling my tank with the rich, pungent liquid. As we waited for the tank to fill, we chatted about the challenges of driving in such a remote area, where services were few and far between. The attendant told me that he had been working at the station for over 20 years, and had seen all manner of vehicles come and go, from petrol-guzzling muscle cars to diesel-powered semis. Once my tank was full, I paid the attendant and continued on my journey, feeling grateful for the small oasis in the desert. With a full tank and a renewed sense of confidence, I pressed on, ready to face whatever lay ahead.",0.818088921
31,temp8_year-week-embark_1long,"As I stood on the edge of the grand canyon, I couldn't help but think about the incredible journey that lay ahead. It had been a year of planning and preparation, and finally, I was ready to embark on my solo hiking trip. The trail stretched out before me, winding its way through the rugged terrain, and I felt a surge of excitement and nerves. My guidebook told me that the trek would take approximately 12 days to complete, which was just over a week of intense hiking. I took a deep breath, shouldering my backpack and adjusting my walking poles, ready to face whatever challenges lay ahead. With a sense of determination, I began to make my way down into the canyon, the sound of the wind rustling through the trees accompanying me on my journey. As I walked, the scenery shifted and changed, revealing hidden waterfalls and secret vistas that few people got to see, and I felt grateful to embark on this adventure of a lifetime. The next week would be one of discovery and growth, and I was eager to see what lay in store.",0.809188092
32,temp8_statement-stealth-detect_1long,"As I walked into the abandoned warehouse, I stumbled upon a mysterious statement etched into the wall: ""They're watching you."" Suddenly, I felt a chill run down my spine and I knew I had to be careful. I moved with stealth, trying not to make a sound as I made my way deeper into the building. But as I turned a corner, I caught a glimpse of a figure lurking in the shadows. My heart racing, I tried to detect any movement, but the figure remained still. I took a step back, trying to get a better look, and that's when I saw it: a small camera hidden in the corner of the room. It was then that I realized the true meaning behind the statement, and I knew I had to get out of there as quickly and quietly as possible. With my newfound awareness, I managed to slip back out into the night, undetected and determined to uncover the truth behind the ominous message.",0.802416982
33,temp8_belief-faith-sing_1long,"As I stood on the mountain peak, I felt a strong belief that I was exactly where I was meant to be. The breathtaking view before me only strengthened my faith in the universe and its plan for me. Suddenly, a gentle breeze carried the sweet sound of a bird's melody, and I couldn't help but sing along. My voice blended with the bird's, creating a harmonious duet that echoed through the valleys below. The music seemed to uplift my spirit, filling me with an unshakeable faith in the beauty and wonder of the world. As I sang, I felt my belief in the magic of life grow stronger, and I knew that everything would work out for the best. With a heart full of joy and a voice still ringing with song, I began my descent down the mountain, feeling grateful for the experience and the chance to reconnect with my inner self. In that moment, singing had become a powerful expression of my faith and belief in the world's infinite possibilities.",0.806882441
34,temp8_organ-empire-comply_1long,"In the heart of the mystical empire, a young apprentice named Eira stumbled upon an ancient organ hidden deep within the castle walls. The instrument, adorned with intricate carvings and symbols, seemed to hold the secrets of the empire's past. As she delicately touched the keys, the organ roared to life, filling the air with an otherworldly melody. The emperor, moved by the beauty of the music, emerged from the shadows and commanded Eira to comply with his wishes: to play the organ at the upcoming harvest festival. With trembling hands, Eira accepted the challenge, knowing that her performance would determine the fate of the empire's crops. As the night of the festival approached, Eira practiced tirelessly, her fingers dancing across the keys as she wove a sonic tapestry that would enthrall the entire empire. On the eve of the celebration, the organ's haunting refrain echoed through the land, beckoning all to gather and comply with the emperor's decree. As the last notes faded away, the empire's subjects cheered, and Eira knew that she had truly become a part of the empire's legacy.",0.818309481
35,temp8_gloom-payment-exist_1long,"As I walked through the forest, a sense of gloom settled over me, casting a dark shadow on the trees. The air was thick with an eerie silence, and I couldn't shake the feeling that something was off. Suddenly, a figure emerged from the darkness, demanding a payment in exchange for passage through the woods. I hesitated, unsure if I should comply, but the figure's intense gaze made me feel like I had no choice. As I handed over the money, I wondered if this mysterious being truly existed or if it was just a product of my imagination. But as our transaction came to a close, the figure vanished into thin air, leaving me to ponder whether it had ever exist at all. The forest seemed to brighten slightly, and I continued on my way, feeling a sense of relief wash over me. Despite the strange encounter, I felt grateful to have made it through the woods unscathed, and I couldn't help but wonder what other secrets the forest might hold.",0.815728851
36,temp10_stamp-letter-send_1long,"As I sat at my desk, I carefully wrote out a stamp of approval on the document in front of me. It was a crucial step in the process, one that would determine the fate of the entire project. With the stamp in place, I moved on to writing a letter to my colleague, explaining the details of the plan. The letter was lengthy, but necessary, and I made sure to include every important detail. Once I had finished writing, I folded the letter up and placed it in an envelope, ready to send. I affixed a stamp to the corner of the envelope and dropped it in the mail, feeling a sense of relief wash over me. As I waited for a response, I couldn't help but think about the impact this project would have on our company, and I was eager to send out more letters and updates to keep everyone informed. With the letter on its way, I felt confident that our team was one step closer to achieving our goals.",0.800908538
37,temp10_petrol-diesel-pump_1long,"As I drove down the deserted highway, my old truck's engine began to sputter, warning me that it was time to refuel. I spotted a small petrol station in the distance and pulled in, relieved to have made it just in time. The attendant, a gruff but kind man, asked me what type of fuel I needed, and I replied that my truck ran on diesel. He nodded and began to fill up my tank, the sound of the pump humming as it dispensed the precious liquid. As I waited, I noticed a vintage car parked at the next pump, its owner carefully pouring petrol into the tank. The attendant told me that the car was a rare model, one that required a special type of fuel that was hard to find. After a few minutes, my tank was full, and I thanked the attendant before getting back on the road, feeling grateful for the quick stop. With a full tank of diesel and a newfound appreciation for the old petrol station, I continued on my journey, ready for whatever lay ahead.",0.809918175
38,temp10_year-week-embark_1long,"As I stood on the edge of the vast ocean, I couldn't help but feel a sense of excitement and nervousness as I prepared to embark on my solo sailing journey. It had taken me a year of planning and preparation to get to this point, and I was finally ready to set sail. The forecast predicted calm seas for the first week, which would give me a chance to settle into my routine and find my rhythm. As I cast off and began to make my way out of the harbor, I felt a sense of freedom and liberation that I had never experienced before. The wind in my hair and the sun on my face, I felt truly alive as I embarked on this adventure of a lifetime. Over the next week, I would face many challenges and obstacles, but for now, I was content to simply enjoy the moment and take in the breathtaking views. As I sailed further and further away from land, I knew that this was just the beginning of an incredible journey that would change my life forever. With a sense of anticipation and wonder, I looked out at the horizon, ready to see what the future held.",0.799645476
39,temp10_statement-stealth-detect_1long,"As I walked into the abandoned warehouse, I stumbled upon a mysterious figure who made a bold statement by spray-painting a cryptic message on the wall. The words ""they're watching"" seemed to echo through the empty space, sending chills down my spine. Suddenly, the figure vanished into thin air, demonstrating an uncanny ability of stealth that left me bewildered. I tried to detect any signs of their presence, but there were none - no footprints, no shadows, just an eerie silence. As I turned to leave, I noticed a small camera hidden in the corner, its lens glinting in the faint light. It became clear that the figure had been trying to convey a warning, and I realized that I had stumbled into something much bigger than myself. With my heart racing, I quickly made my way out of the warehouse, determined to uncover the truth behind the mysterious message and the elusive figure's statement. As I emerged into the bright sunlight, I couldn't shake off the feeling that I was being watched, and that the figure's stealth had only been a temporary reprieve from detection.",0.818658654
40,temp10_belief-faith-sing_1long,"In a small village nestled in the rolling hills of the countryside, there lived a young girl named Aria who had an unshakeable belief in the power of music to heal and bring people together. She had faith that her voice could touch the hearts of those who listened, and she spent every spare moment practicing and perfecting her craft. As she stood on the edge of the village square, she took a deep breath and began to sing with all her might. The sweet, melodious sound of her voice wafted through the air, captivating the attention of everyone within earshot. People stopped what they were doing and gathered around her, mesmerized by the beauty of her song. As Aria sang, she felt her faith growing stronger, and she knew that she was making a difference in the lives of those who listened. The villagers, too, felt their spirits lift, and soon they were all singing along with Aria, their voices blending together in perfect harmony. In that moment, Aria's belief in the transformative power of music was confirmed, and she knew that she would always use her gift to spread joy and inspiration to all those around her.",0.814097544
